Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,kwalifikacja_zgoda,,text,Identyfikator rekordu,,Auto-generowane przez REDCap przy tworzeniu nowego rekordu.,,,,,,y,,,,,
intro_text,kwalifikacja_zgoda,Wprowadzenie,descriptive,"<b>Stan zdrowia, aktywność fizyczna i wiedza z zakresu bezpieczeństwa jako czynniki związane ze zdarzeniami niepożądanymi wśród nurków rekreacyjnych w Polsce</b>

Badanie realizowane przez Uniwersytet Medyczny w Białymstoku. Ankieta jest anonimowa, dobrowolna, czas wypełnienia: 12-18 minut.

<b>Informacja dla uczestnika (RODO):</b>
• Administrator danych: Uniwersytet Medyczny w Białymstoku, ul. Jana Kilińskiego 1, 15-089 Białystok.
• Badanie uzyskało zgodę Komisji Bioetycznej UMB (nr APK.002.228.2026).
• Udział jest dobrowolny i w pełni anonimowy; nie zbieramy adresu IP ani danych identyfikujących.
• Dane będą przechowywane do 10 lat i wykorzystane wyłącznie w celach naukowych.
• Z uwagi na pełną anonimowość, po przesłaniu ankiety nie jest możliwe wycofanie pojedynczych odpowiedzi.
• Prosimy NIE wpisywać w polach tekstowych imienia, nazwiska, adresu, telefonu ani innych danych umożliwiających identyfikację.
• Ankieta nie stanowi porady medycznej. W razie objawów po nurkowaniu skontaktuj się z lekarzem lub infolinią DAN.
• Kontakt: Łukasz Minarowski, lukasz.minarowski@umb.edu.pl

Autorzy: Łukasz Minarowski, Jakub Matuk, Maksymilian Lech
Zakład Fizjopatologii Oddychania, Uniwersytet Medyczny w Białymstoku",,,,,,,,,,,,,
q1_age_18plus,kwalifikacja_zgoda,A. Kwalifikacja i zgoda,radio,Czy ma Pan/Pani ukończone 18 lat?,"1, Tak | 0, Nie",,,,,,,y,LV,,,,
q2_recent_dive,kwalifikacja_zgoda,,radio,Kiedy ostatni raz Pan/Pani nurkował/a?,"1, W ciągu ostatnich 24 miesięcy | 2, Ponad 24 miesiące temu (kończy ankietę)",,,,,,,y,LV,,,,
q3_consent,kwalifikacja_zgoda,,radio,Czy wyraża Pan/Pani świadomą zgodę na udział w badaniu? (Udział anonimowy i dobrowolny.),"1, Tak | 0, Nie",,,,,,,y,LV,,,,
eligibility_pass,kwalifikacja_zgoda,,calc,"Kwalifikacja do badania (1 = włączony, 0 = wykluczony)","if([q1_age_18plus]='1' and [q2_recent_dive]='1' and [q3_consent]='1', 1, 0)",Pole obliczeniowe - automatyczne. Filtruje rekordy do analizy.,,,,,,,,,,,@HIDDEN-SURVEY
q4_sex,dane_demograficzne,B. Dane demograficzne,radio,Płeć:,"1, Kobieta | 2, Mężczyzna | 3, Inna | 4, Wolę nie podawać",,,,,,,y,LV,,,,
q4_sex_other,dane_demograficzne,,text,Płeć - proszę określić:,,"Prosimy nie wpisywać danych umożliwiających identyfikację (imię, nazwisko, adres, telefon, e-mail).",,,,,[q4_sex]='3',,,,,,
q4b_sex_bio,dane_demograficzne,,radio,Płeć biologiczna (wykorzystywana wyłącznie do oszacowania VO₂max):,"1, Kobieta | 2, Mężczyzna | 3, Wolę nie podawać",,,,,,,y,LV,,,,
q5_age,dane_demograficzne,,text,Wiek (w latach):,,,integer,18,99,,,y,,,,,
